LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	OV_IN_RELCL	REMARK
Ketika saya sudah berkeluarga, saya	ceritakan	hantu-hantu itu pada anak-anak saya. Saya hanya ingin agar anak-anak tahu	Cerpen				
ka mengadaptasi kisah-kisah sang Pengarang. Tapi apa lagi yang dapat mereka	ceritakan	sekarang? Nasib mereka benar-benar tak jauh berbeda dari anak sang Pengara	Cerpen	mereka	pronomina	TRUE	
kam apa yang tamu ketiga itu	ceritakan	?	Cerpen	tamu	nomina	TRUE	
ngan mukadimah yang bertele-tele, yang berpotensi membuat orang bosan, saya	ceritakan	saja apa yang terjadi di meja operasi dokter Agam. Namun sebelumnya kita h	Cerpen				
ti apa yang akan Oma	ceritakan	. Cukup Oma. Tak perlu dilanjutkan. Tidak perlu dikatakan. Semua detail itu	Novel	Oma	nomina_kerabat	TRUE	
a	ceritakan	kalau dirinya sudah lebih dua tahun meninggalkan rumah. Maksud Diri, rumah	Cerpen				
mau bercerita perihal kelakuan matahari yang suka kurang ajar. Andaikata ia	ceritakan	wujud si matahari yang ia ajak nongkong menikmati kopi, tentu cerita ini l	Cerpen				
aya telepon customer service XL di 817 dan berbicara dengan csnya lalu saya	ceritakan	permasalahan saya ternyata solusi hanya disuruh menunggu 3 hari lagi. Yang	Koran				
Ketika Jen pulang, aku	ceritakan	apa yang aku lihat pagi itu. Ia hanya mengatakan: Kota ini ketakutan. Semu	Novel				
ali pertama dan terakhir ia bertemu tukang cetak selama menjadi tahanan. Ia	ceritakan	itu semua pada anak tukang cetak. Pemuda itu terlihat kecewa. Usianya 12 t	Novel				
2. Coba	ceritakan	secara singkat perlawanan rakyat Maluku terhadap dominasi Portugis?	Buku_Teks				
