ID	morphind	root_morphind	semantic_types	root_pos_morphind	n
1186	ber+mesra<a>_VSA	mesra	reciprocal-naturally-reciprocal-events	a	3
1994	ber+uap<n>_VSA	uap	spontaneous-events-inanimate-being-psychochemical-change	n	3
69	ber+angan<n>_VSA	angan	cognition-middle	n	6
1271	ber+otot<n>_VSA	otot	reflexive-indirect	n	33
1459	ber+puisi<n>_VSA	puisi	emotion-middle-speech-action	n	14
1180	ber+mentari<n>_VSA	mentari	spontaneous-inanimate-state/activity-VISUAL	n	2
340	ber+dayung<n>_VSA	dayung	non-trans-mot-contained	n	1
645	ber+hijrah<v>_VSA	hijrah	reciprocal-collective-group-actions	v	13
266	ber+campur<v>_VSA	campur	reciprocal-naturally-collective-actions	v	323
1224	ber+nada<n>_VSA	nada	spontaneous-events-property-of-inanimate-entity-AUDITORY	n	81
1626	ber+sedu<n>_VSA	sedu	emotion-middle-speech-action	n	1
997	ber+korespondensi<n>_VSA	korespondensi	reciprocal-naturally-reciprocal-events	n	18
1951	ber+tobat<v>_VSA	tobat	reflexive-indirect-middle	v	62
1864	ber+taut<v>_VSA	taut	reciprocal-naturally-reciprocal-events	v	26
1187	ber+metamorfosis<n>_VSA	metamorfosis	spontaneous-events-animate-being	n	26
1600	ber+sangkut<v>_VSADASHpaut<v>_VSA	sangkut	positionals	v	4
1029	ber+kunang<n>_VSA	kunang	spontaneous-inanimate-state/activity-VISUAL	n	1
1135	ber+lutut<n>_VSA	lutut	body-posture-change	n	28
343	ber+debu<n>_VSA	debu	spontaneous-events-object-specific-substance	n	96
1369	ber+perkara<n>_VSA	perkara	reciprocal-naturally-reciprocal-events	n	53
1341	ber+pembuluh<n>_VSA	pembuluh	reflexive-indirect	n	1
